# loc (location id), x (in meter), y (in meter)
129.2.1, 312, 27
130.1.1, 349, 35
130.4.1, 331, 34
32.3.1, 436, 71
32.1.1, 436, 71
35.1.1, 599, 121
131.3.1, 620, 136
29.1.1, 417, 689
37.4.1, -209, 11
37.3.2, -200, 9
37.3.1, -203, 22
37.2.1, -202, 27
37.1.1, -201, 36
37.1.2, -199, 22
38.1.1, 183, 293
38.1.2, 171, 283
38.1.3, 176, 271
38.2.1, 174, 289
38.2.2, 191, 284
38.2.3, 178, 271
38.2.4, 170, 274
38.2.5, 188, 293
38.2.6, 184, 253
38.3.1, 190, 278
38.3.2, 170, 279
38.3.3, 181, 299
38.3.4, 180, 282
38.4.1, 177, 304
38.4.2, 194, 291
38.4.3, 183, 263
38.4.4, 181, 281
38.5.1, 188, 277
38.5.2, 178, 279
133.5.2, 172, 33
133.5.1, 173, 56
133.3.1, 171, 51
133.1.2, 169, 29
133.1.1, 168, 53
134.5.1, 182, 84
134.4.1, 180, 83
134.3.1, 179, 82
134.2.1, 179, 82
134.1.1, 181, 84
136.1.1, -696, 73
136.2.1, -698, 74
136.2.2, -688, 89
136.2.3, -676, 77
136.3.1, -698, 74
136.3.2, -689, 88
136.4.1, -697, 75
136.4.2, -688, 88
136.5.1, -700, 74
136.5.2, -688, 91
137.5.1, -221, 156
137.4.2, -212, 154
137.4.1, -221, 146
137.3.2, -221, 156
137.3.1, -221, 146
137.2.2, -212, 154
137.2.1, -221, 146
137.1.1, -223, 160
41.3.1, 190, -115
41.2.1, 194, -121
1.1.1, -10, -137
1.1.2, -47, -129
1.2.1, -28, -134
1.2.2, -42, -134
1.3.1, -14, -141
1.3.2, -39, -141
1.3.3, -40, -127
1.4.1, -14, -141
1.4.2, -40, -142
1.4.3, -43, -159
1.5.1, -14, -141
1.5.2, -39, -142
1.6.1, -14, -142
1.6.2, -39, -143
1.6.3, -29, -128
1.6.4, -31, -120
42.1.5, 2375, -3296
42.1.4, 2361, -3281
42.1.3, 2359, -3297
42.1.2, 2379, -3283
42.1.1, 2395, -3294
43.3.1, 94, -152
43.2.6, 94, -153
43.2.5, 104, -155
43.2.3, 80, -147
43.2.2, 83, -183
43.2.1, 83, -185
43.1.4, 109, -166
43.1.3, 77, -148
43.1.2, 87, -184
43.1.1, 96, -202
43.2.4, 84, -184
191.4.1, 8, -153
191.4.2, 12, -192
191.4.3, 42, -147
191.4.4, 32, -148
191.4.5, 2, -182
191.3.1, 36, -162
191.3.2, 22, -200
191.3.3, 43, -220
191.3.4, 16, -154
191.3.5, 27, -235
191.3.6, 29, -183
191.3.7, 51, -159
191.3.8, 44, -243
191.3.9, 43, -178
191.3.10, 4, -168
191.3.11, 42, -145
191.3.12, 17, -183
191.3.13, 53, -227
191.2.1, 51, -220
191.2.2, 20, -144
191.2.3, 18, -195
191.2.4, 53, -178
191.2.5, 19, -224
191.2.6, 35, -148
191.2.7, 20, -177
191.2.8, 36, -243
191.2.9, 40, -129
191.2.10, 49, -148
191.2.11, 24, -159
191.1.1, 50, -224
191.1.2, 39, -223
191.1.3, 40, -238
191.1.4, 25, -224
46.1.1, 366, 555
46.1.2, 351, 566
46.2.1, 370, 564
46.2.2, 362, 549
47.2.1, -42, -165
47.2.2, -46, -164
49.2.1, 126, -282
48.3.5, 19, -330
48.3.2, 19, -310
48.3.1, 0, -302
48.3.4, 25, -295
48.2.12, 7, -310
48.2.11, 31, -340
48.2.10, 8, -337
48.2.9, 40, -296
48.2.8, 15, -295
48.2.7, 16, -323
50.1.1, 435, -318
50.1.2, 478, -310
50.1.3, 522, -300
138.4.1, -175, 417
138.3.1, -178, 409
138.2.1, -177, 412
138.1.1, -169, 418
139.2.1, 150, -297
139.2.2, 141, -281
139.2.3, 169, -280
139.3.1, 165, -290
139.3.2, 146, -291
140.5.1, -280, 139
140.4.1, -280, 139
140.3.1, -280, 139
140.2.1, -281, 139
140.1.1, -279, 139
203.3.1, 1292, 1697
203.3.2, 1273, 1692
203.3.3, 1303, 1716
203.3.4, 1288, 1696
203.3.5, 1298, 1712
203.2.1, 1293, 1698
203.2.2, 1287, 1698
203.2.3, 1294, 1713
203.2.4, 1286, 1698
142.5.2, -158, 55
142.5.1, -158, 37
142.4.2, -157, 57
142.4.1, -157, 36
142.3.2, -160, 57
142.3.1, -160, 36
142.2.2, -162, 55
142.2.1, -162, 37
142.1.1, -168, 34
2.5.1, -160, 89
2.4.1, -159, 89
2.4.2, -160, 78
2.3.1, -160, 93
2.3.2, -168, 91
2.2.1, -159, 81
2.2.2, -168, 90
2.1.1, -171, 95
2.1.2, -167, 92
2.1.3, -157, 91
143.1.1, -159, 5
143.2.1, -159, 4
143.3.1, -170, 6
143.3.2, -159, 4
143.4.1, -170, 7
143.4.2, -160, 19
143.5.1, -159, 5
144.3.1, -548, 49
144.3.2, -548, 40
144.3.3, -561, 32
144.3.4, -569, 37
144.3.5, -576, 51
144.3.6, -585, 51
144.1.1, -572, 44
144.1.2, -554, 35
145.5.2, 429, 140
145.5.1, 416, 130
145.4.3, 429, 139
145.4.2, 416, 130
145.4.1, 414, 120
145.3.3, 429, 140
145.3.2, 416, 130
145.3.1, 414, 120
145.2.3, 429, 139
145.2.2, 416, 130
145.2.1, 414, 119
145.1.2, 420, 106
145.1.1, 413, 126
51.3.1, 220, -142
51.2.3, 231, -149
51.2.2, 187, -167
51.2.1, 195, -143
210.1.1, 155, 442
210.2.11, 166, 470
210.2.10, 136, 451
210.2.9, 144, 443
210.2.8, 151, 436
210.2.7, 147, 459
210.2.6, 148, 473
210.2.5, 160, 461
210.2.4, 147, 457
210.2.3, 167, 495
210.2.2, 177, 490
210.2.1, 188, 484
210.3.7, 144, 442
210.3.6, 177, 490
210.3.5, 138, 445
210.3.4, 146, 437
210.3.3, 156, 471
210.3.2, 173, 495
210.3.1, 183, 489
210.4.9, 155, 471
210.4.8, 136, 451
210.4.7, 144, 443
210.4.6, 150, 436
210.4.5, 151, 464
210.4.4, 161, 478
210.4.3, 167, 495
210.4.2, 177, 490
210.4.1, 187, 484
210.5.3, 157, 471
210.5.2, 173, 495
210.5.1, 184, 489
209.1.1, 204, 421
209.2.10, 191, 400
209.2.9, 227, 445
209.2.8, 182, 410
209.2.7, 190, 404
209.2.6, 197, 398
209.2.5, 203, 417
209.2.4, 216, 432
209.2.3, 211, 460
209.2.2, 221, 450
209.2.1, 234, 441
209.3.7, 211, 424
209.3.6, 185, 408
209.3.5, 191, 400
209.3.4, 208, 418
209.3.3, 216, 428
209.3.2, 217, 455
209.3.1, 228, 445
209.4.9, 190, 400
209.4.8, 216, 454
209.4.7, 183, 410
209.4.6, 197, 398
209.4.5, 203, 417
209.4.4, 216, 433
209.4.3, 212, 459
209.4.2, 221, 450
209.4.1, 233, 442
209.5.4, 208, 418
209.5.3, 216, 428
209.5.2, 217, 454
209.5.1, 227, 445
52.4.3, -105, 7
52.4.2, -119, 20
52.4.1, -107, 19
52.3.2, -115, 12
52.3.1, -99, 15
52.2.5, -124, 14
52.2.4, -112, 11
52.2.3, -102, 10
52.2.2, -105, 23
52.2.1, -113, 16
52.1.2, -115, 19
52.1.1, -110, 12
53.1.1, 358, 572
53.1.3, 358, 565
53.1.4, 364, 555
53.1.5, 348, 569
54.3.1, 354, -293
54.1.1, 340, -295
56.6.1, 41, 418
56.6.2, 71, 437
56.6.3, 50, 445
56.6.4, 39, 454
56.6.5, 44, 464
56.5.1, 57, 442
56.5.2, 42, 429
56.5.3, 49, 456
56.5.4, 31, 448
56.4.1, 43, 422
56.4.2, 67, 443
56.4.3, 41, 453
56.4.4, 48, 433
56.3.1, 58, 442
56.3.2, 45, 422
56.3.3, 37, 444
56.3.4, 52, 449
56.2.1, 70, 418
56.2.2, 72, 436
56.2.3, 43, 424
56.2.4, 53, 447
56.2.5, 57, 427
56.2.6, 39, 453
56.2.7, 33, 430
56.1.1, 57, 440
56.1.2, 38, 444
57.2.1, -500, 197
57.2.2, -539, 172
57.2.3, -513, 202
57.2.4, -540, 201
57.3.1, -524, 180
57.3.2, -521, 183
57.3.5, -503, 190
57.4.1, -531, 165
57.4.2, -529, 200
57.4.3, -506, 193
57.4.4, -522, 193
57.5.1, -539, 158
57.5.2, -539, 199
57.5.3, -510, 198
57.6.1, -538, 158
57.6.2, -532, 191
57.6.3, -505, 191
57.6.4, -539, 176
57.6.5, -504, 190
148.1.1, 137, -92
148.2.1, 155, -94
148.2.2, 129, -100
148.3.1, 156, -87
148.3.2, 123, -95
148.3.3, 140, -97
148.4.1, 155, -94
148.4.2, 130, -100
148.5.1, 154, -87
148.5.2, 127, -93
149.4.1, -107, 428
149.3.1, -101, 419
149.1.1, -102, 424
152.1.1, -9, 446
152.3.1, -11, 428
153.3.1, -46, 449
153.1.1, -46, 453
154.1.2, -19, 495
154.1.1, -20, 495
58.3.1, 466, 122
58.1.1, 467, 120
59.1.1, 448, 172
59.1.2, 446, 183
60.1.1, 438, 215
60.2.1, 437, 220
61.1.1, 447, 242
61.3.1, 437, 240
61.4.1, 442, 232
62.1.1, 413, 256
63.1.1, 431, 260
64.1.1, 438, 273
64.3.1, 431, 275
65.1.1, 424, 297
65.3.1, 419, 306
66.1.1, 413, 342
66.3.1, 423, 344
67.3.1, 415, 361
67.1.1, 423, 360
68.1.1, 411, 383
68.3.1, 406, 391
156.1.1, -334, 487
156.3.1, -343, 480
156.3.2, -333, 493
156.4.1, -333, 482
74.1.2, 256, 553
74.1.1, 259, 557
74.2.2, 265, 559
158.1.1, 159, 157
158.2.1, 159, 157
158.2.2, 159, 143
158.3.1, 158, 157
158.3.2, 158, 143
158.4.1, 158, 157
112.1.4, 262, 119
112.1.1, 221, 101
112.2.3, 240, 108
112.3.3, 266, 109
112.3.1, 223, 95
112.4.1, 240, 108
192.4.1, -106, -27
192.3.3, -121, -24
192.3.2, -102, -36
192.3.1, -102, -23
192.2.2, -102, -31
192.2.1, -120, -23
192.1.3, -99, -37
192.1.2, -103, -22
192.1.1, -121, -28
76.5.2, -126, 267
76.5.1, -149, 266
76.2.1, -128, 266
76.1.1, -130, 263
76.1.2, -136, 258
76.1.3, -152, 268
76.3.1, -147, 263
76.3.2, -124, 264
76.4.1, -143, 266
76.4.2, -132, 261
213.2.1, 108, 124
79.3.1, 105, 561
79.3.2, 117, 569
80.1.1, 130, 622
80.1.2, 134, 607
80.2.1, 124, 601
80.2.2, 135, 618
80.2.3, 136, 601
80.2.4, 125, 595
80.3.1, 129, 606
80.3.2, 141, 618
80.4.1, 134, 613
80.4.2, 126, 601
77.2.4, 86, 536
77.2.3, 94, 543
77.2.2, 60, 549
77.2.1, 72, 558
77.1.2, 71, 559
77.1.1, 80, 540
82.1.2, -302, 501
82.2.1, -309, 522
82.2.2, -292, 494
160.5.3, -164, 239
160.5.2, -177, 225
160.5.1, -164, 224
160.4.3, -168, 242
160.4.2, -176, 226
160.4.1, -164, 224
160.3.3, -177, 225
160.3.2, -164, 238
160.3.1, -164, 223
160.2.3, -168, 241
160.2.2, -164, 224
160.2.1, -177, 225
160.1.1, -169, 223
94.1.1, 553, -20
84.2.1, -38, 153
84.3.1, -54, 146
84.4.1, -54, 156
84.5.1, -53, 157
85.1.1, 833, -355
85.1.2, 829, -374
86.3.1, 6, 477
86.2.1, 19, 471
86.1.1, 10, 473
87.1.1, -122, 231
87.1.2, -110, 228
87.1.3, -118, 245
87.2.1, -119, 229
87.2.2, -119, 251
87.2.3, -121, 243
87.3.1, -130, 229
87.3.2, -121, 244
87.3.3, -107, 223
87.4.1, -121, 222
87.4.2, -113, 250
87.4.3, -116, 225
87.5.1, -130, 225
87.5.2, -112, 225
87.5.3, -122, 244
208.2.1, -113, -265
93.2.1, -121, -347
93.2.2, -105, -349
93.3.1, -120, -337
93.3.2, -118, -347
163.4.1, -99, -122
163.2.1, -106, -121
163.1.1, -103, -124
96.1.1, -468, 245
96.1.2, -459, 238
97.1.2, 379, 620
97.1.1, 356, 638
97.2.5, 368, 626
97.2.4, 387, 623
97.2.3, 379, 629
97.2.2, 367, 635
97.2.1, 357, 643
97.3.5, 379, 628
97.3.4, 398, 610
97.3.3, 385, 618
97.3.2, 370, 629
97.3.1, 353, 636
97.4.6, 400, 615
97.4.5, 370, 634
97.4.4, 388, 618
97.4.3, 375, 627
97.4.2, 362, 635
97.4.1, 356, 641
166.5.1, -261, 146
166.4.1, -245, 146
166.3.1, -261, 145
166.2.1, -263, 147
166.1.2, -246, 137
166.1.1, -263, 145
98.1.1, 108, 340
98.1.2, 105, 374
98.1.3, 146, 373
98.1.4, 123, 394
98.1.5, 91, 353
98.1.6, 108, 340
98.1.7, 104, 348
98.2.1, 143, 376
98.2.2, 128, 389
98.2.3, 95, 357
98.2.4, 108, 339
98.2.5, 99, 344
98.2.6, 125, 381
98.3.1, 144, 376
98.3.2, 102, 368
98.3.3, 126, 380
98.3.4, 92, 351
98.3.5, 97, 346
98.3.6, 104, 340
193.4.1, -165, -38
193.3.4, -213, -45
193.3.3, -158, -35
193.3.2, -204, -35
193.3.1, -174, -35
193.2.4, -223, -32
193.2.3, -196, -49
193.2.2, -167, -41
193.2.1, -173, -25
193.1.6, -216, -50
193.1.5, -238, -29
193.1.4, -205, -39
193.1.3, -188, -29
193.1.2, -159, -33
193.1.1, -173, -36
